Date,Open,High,Low,Close,Volume
09/05/2025,"54.30","54.36","53.11","53.85","215,915"
09/04/2025,"53.08","53.48","52.70","53.47","237,537"
09/03/2025,"53.34","53.36","52.80","53.17","105,135"
09/02/2025,"52.43","53.06","52.08","52.94","205,590"
08/29/2025,"54.21","54.21","53.27","53.77","198,384"
08/28/2025,"54.18","54.97","54.14","54.84","303,842"
08/27/2025,"53.60","53.88","53.30","53.78","270,221"
08/26/2025,"53.40","53.70","53.30","53.59","129,866"
08/25/2025,"53.36","53.56","52.83","53.28","246,459"
08/22/2025,"52.22","53.53","52.00","53.28","222,745"
08/21/2025,"51.99","52.22","51.63","51.94","122,468"
08/20/2025,"52.01","52.20","50.73","52.10","300,422"
08/19/2025,"54.28","54.28","52.51","52.67","342,330"
08/18/2025,"54.56","54.56","53.94","54.46","256,289"
08/15/2025,"54.41","54.44","53.82","54.30","239,739"
08/14/2025,"54.18","54.57","54.01","54.25","233,179"
08/13/2025,"55.51","55.51","54.45","54.75","318,082"
08/12/2025,"54.27","55.14","54.00","55.14","320,253"
08/11/2025,"53.98","54.54","53.73","53.87","334,776"
08/08/2025,"53.27","53.83","53.27","53.80","274,345"
08/07/2025,"53.16","53.55","52.50","53.08","235,200"
08/06/2025,"51.87","52.48","51.72","52.48","280,692"
