Date,Open,High,Low,Close,Volume
09/05/2025,"40.95","41.02","40.91","40.94","615"
09/04/2025,"41.22","41.22","40.52","41.13","3,099"
09/03/2025,"40.59","41.34","40.59","41.28","4,939"
09/02/2025,"40.73","41.12","40.73","41.06","17,968"
08/29/2025,"40.62","40.65","40.52","40.63","4,748"
08/28/2025,"41.27","41.37","41.27","41.37","844"
08/27/2025,"41.34","41.57","41.34","41.52","3,902"
08/26/2025,"41.43","41.52","41.42","41.52","1,396"
08/25/2025,"42.10","42.29","42.10","42.13","1,511"
08/22/2025,"41.87","42.29","41.87","42.22","2,734"
08/21/2025,"42.07","42.07","42.00","42.03","1,065"
08/20/2025,"42.19","42.36","42.19","42.36","1,086"
08/19/2025,"41.91","41.91","41.79","41.86","2,347"
08/18/2025,"41.26","41.43","41.22","41.36","2,306"
08/15/2025,"40.98","41.14","40.95","41.14","1,495"
08/14/2025,"40.82","40.88","40.72","40.88","2,046"
08/13/2025,"41.07","41.10","41.05","41.05","874"
08/12/2025,"40.64","40.94","40.64","40.94","3,021"
08/11/2025,"40.66","40.70","40.60","40.62","1,470"
08/08/2025,"40.48","40.50","40.37","40.37","7,357"
08/07/2025,"41.08","41.24","40.90","40.93","8,017"
08/06/2025,"40.60","40.62","40.28","40.48","7,673"
