Date,Open,High,Low,Close,Volume
09/05/2025,"329.53","331.44","328.93","331.05","16,065,150"
09/04/2025,"327.03","327.56","325.35","326.69","11,703,130"
09/03/2025,"327.76","329.45","326.73","328.14","16,062,220"
09/02/2025,"320.82","325.92","320.24","325.59","21,247,529"
08/29/2025,"314.72","318.09","314.64","318.07","15,642,640"
08/28/2025,"313.32","315.08","313.07","315.03","9,610,202"
08/27/2025,"311.39","312.91","310.77","312.71","4,320,071"
08/26/2025,"310.62","312.21","310.31","312.08","11,698,460"
08/25/2025,"309.67","310.84","309.67","309.83","4,044,429"
08/22/2025,"306.52","311.03","306.43","310.58","8,526,492"
08/21/2025,"307.86","308.15","307.03","307.29","4,808,975"
08/20/2025,"307.54","308.47","307.40","308.36","6,515,411"
08/19/2025,"306.76","307.48","305.19","305.27","5,029,939"
08/18/2025,"307.79","307.89","306.63","306.95","6,150,140"
08/15/2025,"307.34","308.00","306.87","307.43","5,990,110"
08/14/2025,"307.93","308.34","306.52","307.25","5,817,726"
08/13/2025,"309.10","310.39","308.45","309.21","4,718,586"
08/12/2025,"308.22","309.31","306.71","308.27","9,701,725"
08/11/2025,"308.62","309.66","307.63","308.55","10,326,700"
08/08/2025,"312.35","313.53","311.00","313.05","19,886,801"
08/07/2025,"311.72","313.14","310.70","313.12","10,891,460"
08/06/2025,"310.32","311.24","309.84","310.50","7,418,158"
