Date,Open,High,Low,Close,Volume
09/05/2025,"27.67","27.83","27.50","27.64","15,327,790"
09/04/2025,"27.61","27.70","27.51","27.69","13,419,730"
09/03/2025,"27.75","27.85","27.50","27.60","19,873,330"
09/02/2025,"27.89","27.95","27.70","27.84","18,420,580"
08/29/2025,"27.82","27.99","27.81","27.92","13,211,210"
08/28/2025,"27.91","27.93","27.67","27.82","11,793,920"
08/27/2025,"27.73","27.93","27.71","27.87","11,516,160"
08/26/2025,"27.76","27.83","27.67","27.75","16,407,561"
08/25/2025,"27.93","27.93","27.75","27.77","12,613,180"
08/22/2025,"27.63","28.03","27.63","27.95","15,118,580"
08/21/2025,"27.47","27.59","27.40","27.52","9,865,388"
08/20/2025,"27.48","27.70","27.46","27.51","16,734,859"
08/19/2025,"27.29","27.62","27.29","27.45","12,997,090"
08/18/2025,"27.32","27.38","27.23","27.26","12,751,600"
08/15/2025,"27.37","27.43","27.26","27.33","14,205,750"
08/14/2025,"27.28","27.37","27.17","27.34","14,665,840"
08/13/2025,"27.14","27.48","27.08","27.46","16,077,000"
08/12/2025,"26.87","27.12","26.84","27.10","13,897,520"
08/11/2025,"26.94","27.09","26.71","26.79","17,459,189"
08/08/2025,"26.80","26.98","26.79","26.88","13,659,960"
08/07/2025,"26.79","26.92","26.59","26.75","13,395,310"
08/06/2025,"26.78","26.83","26.63","26.68","16,556,080"
