Date,Open,High,Low,Close,Volume
09/05/2025,"100.45","100.45","100.44","100.44","15,311,960"
09/04/2025,"100.42","100.42","100.41","100.42","11,300,210"
09/03/2025,"100.40","100.40","100.39","100.40","14,296,020"
09/02/2025,"100.39","100.39","100.38","100.39","27,254,500"
08/29/2025,"100.72","100.74","100.72","100.74","21,369,381"
08/28/2025,"100.69","100.69","100.68","100.68","8,816,581"
08/27/2025,"100.68","100.68","100.67","100.67","7,384,602"
08/26/2025,"100.67","100.67","100.66","100.66","8,741,589"
08/25/2025,"100.66","100.66","100.65","100.66","13,555,950"
08/22/2025,"100.64","100.64","100.63","100.64","13,160,410"
08/21/2025,"100.61","100.61","100.60","100.60","8,765,277"
08/20/2025,"100.60","100.60","100.59","100.60","10,922,070"
08/19/2025,"100.59","100.59","100.58","100.58","10,474,910"
08/18/2025,"100.57","100.58","100.56","100.58","14,768,500"
08/15/2025,"100.56","100.56","100.55","100.55","9,493,913"
08/14/2025,"100.52","100.53","100.52","100.52","9,798,909"
08/13/2025,"100.51","100.52","100.50","100.51","12,144,760"
08/12/2025,"100.50","100.50","100.49","100.49","13,082,890"
08/11/2025,"100.49","100.49","100.48","100.49","12,940,320"
08/08/2025,"100.48","100.48","100.47","100.48","12,066,260"
08/07/2025,"100.44","100.44","100.43","100.43","10,823,040"
08/06/2025,"100.43","100.43","100.42","100.43","10,653,900"
