Date,Open,High,Low,Close,Volume
09/05/2025,"214.08","214.20","211.23","211.97","898,843"
09/04/2025,"210.50","211.78","210.18","211.78","665,286"
09/03/2025,"210.12","210.29","209.15","210.28","708,332"
09/02/2025,"209.41","210.17","208.73","210.09","934,869"
08/29/2025,"211.39","211.55","210.41","210.92","637,143"
08/28/2025,"211.52","211.73","210.86","211.58","630,915"
08/27/2025,"210.45","211.40","210.45","211.18","621,273"
08/26/2025,"209.84","210.84","209.76","210.73","724,243"
08/25/2025,"211.16","211.34","209.80","209.83","698,770"
08/22/2025,"209.78","212.14","209.78","211.39","676,159"
08/21/2025,"209.12","209.72","208.55","209.02","464,587"
08/20/2025,"210.00","210.28","209.17","209.85","730,097"
08/19/2025,"209.55","210.67","209.23","209.63","830,900"
08/18/2025,"209.38","209.81","209.26","209.53","654,916"
08/15/2025,"210.90","210.90","209.43","209.49","637,465"
08/14/2025,"209.21","210.21","208.96","210.07","644,126"
08/13/2025,"209.48","210.10","209.06","209.96","699,926"
08/12/2025,"207.41","208.78","207.14","208.67","613,089"
08/11/2025,"207.41","207.66","206.41","206.72","641,039"
08/08/2025,"206.39","207.43","206.39","207.17","571,375"
08/07/2025,"207.76","207.92","205.35","206.01","772,091"
08/06/2025,"206.39","207.23","205.78","206.89","728,417"
