Date,Open,High,Low,Close,Volume
09/05/2025,"321.61","322.06","317.49","319.55","3,872,086"
09/04/2025,"317.84","320.23","317.32","320.14","3,041,972"
09/03/2025,"317.04","317.75","315.86","317.33","3,161,366"
09/02/2025,"314.52","316.11","313.30","315.99","4,816,314"
08/29/2025,"319.56","319.70","317.29","318.20","3,418,766"
08/28/2025,"319.43","320.40","318.50","320.10","3,236,896"
08/27/2025,"317.65","319.25","317.65","318.94","5,481,253"
08/26/2025,"316.74","318.21","316.33","318.09","2,832,023"
08/25/2025,"317.58","317.97","316.60","316.65","2,792,723"
08/22/2025,"313.99","318.83","313.68","318.18","3,548,279"
08/21/2025,"312.90","313.84","311.86","312.76","2,697,032"
08/20/2025,"314.57","314.57","311.24","313.84","6,190,339"
08/19/2025,"316.58","316.98","314.10","314.67","4,135,736"
08/18/2025,"316.32","316.81","315.99","316.59","3,788,571"
08/15/2025,"317.94","317.94","316.01","316.47","3,434,118"
08/14/2025,"316.32","317.56","316.01","317.19","3,486,988"
08/13/2025,"317.36","317.93","316.40","317.66","2,893,615"
08/12/2025,"313.72","316.24","312.98","316.13","3,342,708"
08/11/2025,"313.33","313.93","311.82","312.31","4,275,206"
08/08/2025,"311.90","313.30","311.69","313.03","2,881,394"
08/07/2025,"313.05","313.40","309.36","311.07","2,974,369"
08/06/2025,"309.55","311.58","309.05","311.25","3,226,373"
