Date,Open,High,Low,Close,Volume
09/05/2025,"52.09","52.18","51.77","51.97","11,562,220"
09/04/2025,"51.23","51.40","51.10","51.38","10,215,590"
09/03/2025,"51.56","51.62","51.44","51.60","10,285,330"
09/02/2025,"51.07","51.49","51.01","51.46","10,064,650"
08/29/2025,"51.50","51.59","51.33","51.53","6,356,606"
08/28/2025,"51.46","51.68","51.41","51.68","5,949,836"
08/27/2025,"51.25","51.51","51.18","51.49","5,998,662"
08/26/2025,"51.92","51.94","51.76","51.84","8,479,257"
08/25/2025,"52.11","52.25","51.95","51.95","6,631,294"
08/22/2025,"51.53","52.20","51.47","52.17","6,505,437"
08/21/2025,"51.23","51.35","51.15","51.27","5,551,782"
08/20/2025,"51.35","51.39","51.07","51.36","8,344,299"
08/19/2025,"51.67","51.67","51.34","51.38","7,113,545"
08/18/2025,"51.68","51.78","51.61","51.75","7,465,866"
08/15/2025,"51.42","51.50","51.32","51.36","5,513,083"
08/14/2025,"51.26","51.35","51.06","51.21","9,942,435"
08/13/2025,"51.73","51.87","51.70","51.79","7,072,379"
08/12/2025,"50.84","51.25","50.81","51.21","6,045,856"
08/11/2025,"50.59","50.77","50.50","50.63","5,237,230"
08/08/2025,"50.60","50.73","50.57","50.69","5,063,943"
08/07/2025,"50.83","50.94","50.65","50.75","5,728,731"
08/06/2025,"50.27","50.42","50.12","50.38","6,444,001"
