Date,Open,High,Low,Close,Volume
09/05/2025,"86.19","86.39","85.58","85.85","8,104,252"
09/04/2025,"85.06","85.43","84.98","85.40","7,394,763"
09/03/2025,"84.56","84.91","84.51","84.86","9,404,275"
09/02/2025,"84.25","84.84","84.17","84.72","8,818,021"
08/29/2025,"85.58","85.70","85.40","85.51","9,723,105"
08/28/2025,"86.01","86.15","85.85","86.04","10,529,670"
08/27/2025,"85.26","85.75","85.14","85.72","6,382,547"
08/26/2025,"85.78","85.97","85.71","85.92","7,276,551"
08/25/2025,"86.68","86.86","85.98","85.99","6,595,811"
08/22/2025,"86.11","87.25","86.07","87.11","7,197,782"
08/21/2025,"85.84","85.97","85.63","85.76","7,447,517"
08/20/2025,"86.22","86.33","86.00","86.31","18,487,400"
08/19/2025,"86.26","86.41","85.95","86.05","9,165,835"
08/18/2025,"85.87","86.05","85.74","86.04","7,691,153"
08/15/2025,"86.16","86.18","85.98","86.13","7,881,808"
08/14/2025,"85.27","85.64","85.24","85.60","6,940,094"
08/13/2025,"85.49","85.69","85.42","85.64","7,214,314"
08/12/2025,"84.54","85.24","84.44","85.21","9,576,068"
08/11/2025,"84.33","84.42","84.11","84.22","8,617,665"
08/08/2025,"84.40","84.72","84.33","84.57","6,781,766"
08/07/2025,"84.29","84.32","83.73","84.11","9,217,535"
08/06/2025,"83.17","83.49","83.10","83.38","7,748,692"
