Date,Open,High,Low,Close,Volume
09/05/2025,"74.29","74.37","74.25","74.27","6,321,761"
09/04/2025,"73.80","73.93","73.72","73.92","8,842,621"
09/03/2025,"73.45","73.72","73.44","73.64","6,005,492"
09/02/2025,"73.34","73.43","73.31","73.40","6,222,391"
08/29/2025,"73.82","73.87","73.76","73.80","7,736,482"
08/28/2025,"73.79","73.92","73.76","73.89","5,857,310"
08/27/2025,"73.66","73.81","73.59","73.80","6,053,945"
08/26/2025,"73.65","73.76","73.59","73.73","4,648,298"
08/25/2025,"73.63","73.72","73.59","73.64","5,362,095"
08/22/2025,"73.50","73.81","73.48","73.74","5,828,735"
08/21/2025,"73.44","73.47","73.29","73.37","5,695,498"
08/20/2025,"73.49","73.60","73.46","73.55","5,512,795"
08/19/2025,"73.44","73.51","73.44","73.50","5,098,530"
08/18/2025,"73.47","73.64","73.31","73.36","6,941,556"
08/15/2025,"73.53","73.59","73.39","73.44","4,309,079"
08/14/2025,"73.75","73.75","73.49","73.54","6,818,486"
08/13/2025,"73.69","73.78","73.67","73.75","6,208,874"
08/12/2025,"73.39","73.48","73.33","73.48","5,493,957"
08/11/2025,"73.49","73.55","73.44","73.47","8,668,285"
08/08/2025,"73.50","73.51","73.40","73.42","5,566,313"
08/07/2025,"73.70","73.70","73.53","73.58","4,193,068"
08/06/2025,"73.57","73.65","73.34","73.61","8,082,200"
