Date,Open,High,Low,Close,Volume
09/05/2025,"66.22","66.37","65.79","66.04","18,109"
09/04/2025,"66.17","66.23","65.96","66.21","19,108"
09/03/2025,"65.90","65.90","65.55","65.83","13,557"
09/02/2025,"66.03","66.03","65.76","65.99","13,196"
08/29/2025,"66.14","66.43","66.14","66.37","6,121"
08/28/2025,"66.56","66.56","65.92","66.14","20,282"
08/27/2025,"66.11","66.58","66.11","66.56","13,136"
08/26/2025,"66.24","66.34","66.04","66.27","15,078"
08/25/2025,"66.72","66.79","66.34","66.38","18,001"
08/22/2025,"66.21","67.04","66.21","66.91","27,332"
08/21/2025,"65.97","66.13","65.87","65.94","21,351"
08/20/2025,"66.13","66.38","66.03","66.11","8,997"
08/19/2025,"65.37","65.82","65.37","65.76","34,058"
08/18/2025,"65.45","65.56","65.28","65.35","24,875"
08/15/2025,"65.78","65.81","65.52","65.56","14,558"
08/14/2025,"65.46","65.85","65.46","65.78","13,886"
08/13/2025,"65.35","66.03","65.35","66.02","19,658"
08/12/2025,"65.01","65.35","64.92","65.35","15,350"
08/11/2025,"65.22","65.22","64.65","64.74","21,465"
08/08/2025,"64.97","65.12","64.88","65.03","16,040"
08/07/2025,"64.94","64.94","64.57","64.76","18,964"
08/06/2025,"64.87","65.02","64.60","64.60","22,319"
