Date,Open,High,Low,Close,Volume
09/05/2025,"64.12","64.35","62.55","63.42","47,921,770"
09/04/2025,"62.93","63.01","62.06","62.35","32,780,391"
09/03/2025,"63.26","64.00","63.14","63.77","34,218,129"
09/02/2025,"62.14","63.54","61.94","62.97","46,457,441"
08/29/2025,"62.78","62.83","61.31","61.44","52,646,980"
08/28/2025,"64.22","64.38","63.56","63.58","30,895,770"
08/27/2025,"63.25","64.02","63.05","63.65","33,800,770"
08/26/2025,"62.41","63.18","62.11","63.10","41,469,262"
08/25/2025,"63.45","64.20","62.76","62.88","55,863,406"
08/22/2025,"63.80","66.76","63.56","66.25","66,739,180"
08/21/2025,"64.35","64.77","63.54","63.69","34,187,113"
08/20/2025,"64.37","64.99","63.74","64.90","40,798,801"
08/19/2025,"65.74","65.81","63.90","64.19","56,556,238"
08/18/2025,"65.72","66.35","65.18","66.05","33,918,461"
08/15/2025,"67.31","67.36","66.34","66.44","39,585,047"
08/14/2025,"67.21","67.88","66.55","67.03","71,199,633"
08/13/2025,"68.55","69.89","68.22","69.84","54,824,609"
08/12/2025,"67.73","68.30","67.36","67.95","33,721,566"
08/11/2025,"67.88","68.65","67.37","67.64","43,158,512"
08/08/2025,"66.38","66.72","65.82","66.13","29,121,350"
08/07/2025,"66.19","66.89","65.74","66.83","41,363,898"
08/06/2025,"64.71","65.78","64.48","65.51","26,866,650"
