Date,Open,High,Low,Close,Volume
09/05/2025,"580.49","581.12","571.53","576.06","68,342,531"
09/04/2025,"570.74","575.60","569.03","575.23","47,526,281"
09/03/2025,"569.23","571.70","566.73","570.07","54,230,207"
09/02/2025,"561.31","565.97","559.54","565.62","65,876,766"
08/29/2025,"574.66","575.03","568.54","570.40","56,030,406"
08/28/2025,"574.11","578.00","572.46","577.08","46,787,859"
08/27/2025,"571.59","574.41","570.37","573.49","36,927,141"
08/26/2025,"569.83","572.92","568.80","572.61","34,103,008"
08/25/2025,"570.40","573.29","569.16","570.32","34,044,754"
08/22/2025,"564.67","573.99","563.27","571.97","51,502,129"
08/21/2025,"564.35","566.49","560.98","563.28","46,436,898"
08/20/2025,"568.33","568.45","558.84","565.90","76,781,086"
08/19/2025,"576.39","576.56","568.25","569.28","53,752,641"
08/18/2025,"576.44","577.77","575.24","577.11","29,830,961"
08/15/2025,"579.80","579.84","575.57","577.34","49,480,160"
08/14/2025,"578.28","581.88","577.91","579.89","45,425,039"
08/13/2025,"582.76","583.32","578.94","580.34","41,209,289"
08/12/2025,"575.16","580.35","572.49","580.05","42,271,441"
08/11/2025,"574.69","576.80","571.57","572.85","33,112,922"
08/08/2025,"570.45","574.77","570.15","574.55","35,255,473"
08/07/2025,"571.67","573.32","565.11","569.24","44,462,969"
08/06/2025,"561.11","567.76","560.63","567.32","41,823,680"
