Date,Open,High,Low,Close,Volume
09/05/2025,"60.33","60.37","60.23","60.24","3,665,979"
09/04/2025,"59.98","60.05","59.94","60.05","3,263,877"
09/03/2025,"59.76","59.94","59.75","59.89","3,982,482"
09/02/2025,"59.72","59.80","59.71","59.77","1,989,533"
08/29/2025,"60.03","60.11","60.00","60.08","4,572,233"
08/28/2025,"59.97","60.06","59.95","60.06","1,709,838"
08/27/2025,"59.87","60.00","59.85","60.00","1,902,734"
08/26/2025,"59.83","59.91","59.80","59.90","1,941,751"
08/25/2025,"59.77","59.81","59.73","59.76","1,485,270"
08/22/2025,"59.63","59.89","59.63","59.84","2,119,429"
08/21/2025,"59.65","59.67","59.52","59.57","1,680,907"
08/20/2025,"59.65","59.75","59.64","59.71","1,598,676"
08/19/2025,"59.61","59.66","59.60","59.65","1,552,364"
08/18/2025,"59.61","59.61","59.51","59.55","1,330,348"
08/15/2025,"59.64","59.67","59.55","59.58","1,380,638"
08/14/2025,"59.69","59.70","59.61","59.64","1,324,144"
08/13/2025,"59.75","59.82","59.73","59.77","1,672,210"
08/12/2025,"59.55","59.61","59.53","59.61","3,153,810"
08/11/2025,"59.61","59.65","59.57","59.60","1,122,707"
08/08/2025,"59.64","59.64","59.57","59.59","1,012,944"
08/07/2025,"59.73","59.76","59.66","59.70","1,058,192"
08/06/2025,"59.69","59.75","59.58","59.73","1,957,214"
