Date,Open,High,Low,Close,Volume
09/05/2025,"66.50","66.70","66.47","66.65","546,910"
09/04/2025,"66.09","66.25","66.03","66.24","604,507"
09/03/2025,"65.75","65.99","65.73","65.98","1,019,320"
09/02/2025,"65.51","65.70","65.49","65.70","717,369"
08/29/2025,"66.20","66.29","66.15","66.24","389,316"
08/28/2025,"66.12","66.37","66.08","66.34","849,128"
08/27/2025,"65.90","66.00","65.82","65.99","918,204"
08/26/2025,"66.02","66.09","65.93","66.09","559,912"
08/25/2025,"66.18","66.21","66.10","66.10","467,835"
08/22/2025,"65.94","66.39","65.93","66.34","820,459"
08/21/2025,"66.03","66.04","65.86","65.89","437,618"
08/20/2025,"66.11","66.15","66.04","66.11","468,331"
08/19/2025,"66.20","66.26","66.14","66.21","648,062"
08/18/2025,"66.20","66.21","66.06","66.14","899,146"
08/15/2025,"66.14","66.14","66.03","66.10","477,680"
08/14/2025,"66.26","66.29","66.08","66.18","570,091"
08/13/2025,"66.27","66.35","66.24","66.32","355,303"
08/12/2025,"65.88","66.02","65.84","66.01","741,266"
08/11/2025,"65.83","65.92","65.80","65.84","555,866"
08/08/2025,"65.76","65.82","65.71","65.77","501,002"
08/07/2025,"65.80","65.90","65.71","65.78","494,391"
08/06/2025,"65.58","65.73","65.45","65.70","721,735"
